column_name,column_type,null,key,default,extra
bldg_id,UINTEGER,YES,NA,NA,NA
timestamp,TIMESTAMP,YES,NA,NA,NA
in.sqft,FLOAT,YES,NA,NA,NA
out.electricity.ceiling_fan.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.clothes_dryer.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.clothes_washer.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.cooling.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.cooling_fans_pumps.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.dishwasher.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.ev_charging.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.freezer.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.heating.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.heating_fans_pumps.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.heating_hp_bkup.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.heating_hp_bkup_fa.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.hot_water.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.hot_water_solar_th.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.lighting_exterior.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.lighting_garage.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.lighting_interior.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.mech_vent.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.net.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.permanent_spa_heat.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.permanent_spa_pump.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.plug_loads.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.pool_heater.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.pool_pump.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.pv.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.range_oven.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.refrigerator.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.television.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.total.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.well_pump.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.fuel_oil.heating.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.fuel_oil.hot_water.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.fuel_oil.total.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.clothes_dryer.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.fireplace.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.grill.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.heating.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.heating_hp_bkup.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.hot_water.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.lighting.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.permanent_spa_heat.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.pool_heater.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.range_oven.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.natural_gas.total.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.propane.clothes_dryer.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.propane.heating.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.propane.hot_water.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.propane.range_oven.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.propane.total.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.site_energy.net.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.site_energy.total.energy_consumption..kwh,FLOAT,YES,NA,NA,NA
out.electricity.ceiling_fan.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.clothes_dryer.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.clothes_washer.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.cooling.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.cooling_fans_pumps.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.dishwasher.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.ev_charging.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.freezer.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.heating.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.heating_fans_pumps.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.heating_hp_bkup.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.heating_hp_bkup_fa.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.hot_water.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.hot_water_solar_th.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.lighting_exterior.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.lighting_garage.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.lighting_interior.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.mech_vent.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.net.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.permanent_spa_heat.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.permanent_spa_pump.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.plug_loads.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.pool_heater.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.pool_pump.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.pv.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.range_oven.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.refrigerator.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.television.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.total.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.electricity.well_pump.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.fuel_oil.heating.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.fuel_oil.hot_water.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.fuel_oil.total.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.clothes_dryer.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.fireplace.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.grill.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.heating.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.heating_hp_bkup.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.hot_water.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.natural_gas.lighting.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
